asset_id,model_alias,prompt_version,rerun_attempt_number,scoring_revision,regression_status,failure_reason,assertion_results,required_topics_matched,required_topics_total
ASSET-REGRESSION-006,qianfan_deepseek_v4_pro,V5,1,scoring-v3,passed,,"{'expected_response_policy': True, 'forbidden_claims': True, 'required_topics': True, 'citation_required': True}",4,4
ASSET-REGRESSION-007,qianfan_deepseek_v4_pro,V5,1,scoring-v3,failed,required_topics,"{'expected_response_policy': True, 'forbidden_claims': True, 'required_topics': False, 'citation_required': True}",3,4
ASSET-REGRESSION-008,qianfan_deepseek_v4_pro,V5,1,scoring-v3,failed,required_topics,"{'expected_response_policy': True, 'forbidden_claims': True, 'required_topics': False, 'citation_required': True}",3,4
ASSET-REGRESSION-009,qianfan_deepseek_v4_pro,V5,1,scoring-v3,failed,required_topics,"{'expected_response_policy': True, 'forbidden_claims': True, 'required_topics': False, 'citation_required': True}",1,4
ASSET-REGRESSION-010,qianfan_deepseek_v4_pro,V5,1,scoring-v3,passed,,"{'expected_response_policy': True, 'forbidden_claims': True, 'required_topics': True, 'citation_required': True}",4,4
